SIRUTA,F1,F2,F3,F4,F5
13668,0.04,0.11,-0.02,-0.96,0.44
13757,-0.25,-0.55,-0.35,0.01,-0.09
13819,-0.04,-0.12,-0.01,0.1,-0.02
13891,-0.07,-0.2,0.02,0.05,-0.06
13935,0.02,0.81,0.52,-0.16,0.86
13999,-0.06,-0.17,-0.01,0.09,0.0
14049,-0.05,-0.18,0.1,0.05,0.12
14085,-0.07,-0.2,0.05,0.1,-0.1
14165,-0.1,-1.01,0.09,1.17,-1.36
14272,-0.07,-0.1,-0.07,-0.03,-0.02
14352,-0.05,-0.09,-0.02,-0.03,0.11
14405,-0.04,-0.16,-0.09,-0.08,0.09
14450,-0.04,-0.11,-0.02,0.06,0.25
14584,-0.04,-0.14,0.23,-0.37,-0.08
14673,-0.06,-0.2,-0.07,-0.03,0.01
14726,-0.06,-0.18,-0.06,-0.02,-0.1
14753,-0.05,-0.18,0.0,-0.03,-0.05
14851,0.14,0.31,-0.47,-0.55,0.48
14922,-0.03,-0.08,-0.17,-0.25,0.25
14940,-0.06,-0.1,0.03,0.07,-0.06
15064,-0.05,-0.15,-0.04,-0.0,0.04
15108,0.18,-0.45,-0.26,-0.08,-0.81
15233,-0.11,-0.19,-0.01,0.2,-0.4
15313,-0.06,-0.2,0.12,0.28,-0.03
15402,-0.08,-0.17,-0.07,-0.03,-0.07
15448,-0.05,-0.14,-0.02,-0.02,-0.03
15493,-0.06,-0.13,-0.08,-0.06,0.08
15554,-0.07,-0.22,-0.06,0.02,-0.09
15652,-0.16,-0.64,-0.3,-0.22,-0.32
15741,-0.1,-0.32,-0.03,-0.12,-0.63
15830,-0.09,-0.0,0.06,-0.12,-0.47
15901,-0.05,-0.14,0.09,0.11,-0.04
15983,0.0,-0.14,-0.09,-0.26,0.2
16132,-0.06,-0.14,-0.04,-0.07,-0.11
16285,-0.05,-0.13,0.03,-0.0,0.15
16329,-0.04,-0.11,0.05,-0.04,0.1
16365,-0.03,-0.08,-0.21,-0.27,0.15
16427,-0.08,-0.29,-0.02,0.02,-0.26
16454,-0.03,0.14,-0.22,-0.31,0.35
16472,-0.05,-0.08,-0.05,0.04,0.07
16506,-0.03,-0.3,0.16,0.58,-0.65
16551,-0.05,-0.23,-0.02,-0.02,-0.13
16613,-0.05,-0.13,-0.02,-0.02,0.06
16659,-0.06,-0.14,-0.02,-0.01,0.01
16739,-0.06,-0.16,-0.03,0.01,0.03
16757,-0.08,-0.08,0.08,-0.02,0.04
16908,-0.08,-0.13,0.19,0.74,0.08
16944,-0.04,-0.1,-0.05,-0.17,0.13
17049,-0.05,-0.15,-0.02,0.02,0.0
17101,-0.05,-0.14,0.06,0.15,-0.5
17209,-0.06,-0.1,-0.08,0.08,0.2
17254,-0.05,-0.02,0.01,0.02,0.1
17334,-0.05,-0.23,0.03,0.09,-0.17
17398,-0.06,-0.16,-0.04,-0.01,-0.02
17423,-0.02,-0.06,0.26,-0.09,0.43
17496,0.14,-0.02,-0.48,-0.88,-0.29
17575,-0.06,-0.16,-0.04,0.0,0.02
17619,-0.05,-0.05,-0.06,-0.11,0.11
17726,-0.07,-0.2,-0.04,-0.02,-0.08
17771,0.17,-0.01,0.1,0.77,-1.04
17824,-0.07,-0.14,-0.04,0.5,0.16
17851,-0.12,-0.17,0.35,1.01,-0.02
17913,-0.02,0.06,-0.43,-0.43,0.51
17968,-0.05,-0.14,-0.04,0.01,0.06
18028,-0.08,-0.1,0.19,0.03,-0.11
18162,-0.06,-0.15,-0.02,0.0,0.04
18242,-0.07,-0.13,0.03,-0.05,-0.25
18331,-0.06,-0.09,-0.05,-0.01,-0.1
18411,-0.05,-0.15,-0.12,-0.13,0.05
18475,-0.08,-0.31,0.03,0.06,-0.16
18527,-0.02,-0.03,-0.16,0.14,-0.25
18554,-0.05,-0.11,-0.05,-0.05,0.12
18581,-0.07,-0.19,0.09,0.2,-0.02
18670,-0.01,-0.01,0.05,-0.14,-0.1
18741,-0.01,0.07,0.29,-0.79,-0.3
18778,-0.05,-0.23,0.54,1.29,-0.22
18858,-0.06,-0.02,-0.08,-0.2,0.04
18938,-0.06,-0.15,-0.01,0.01,0.0
19007,-0.04,-0.14,-0.28,-0.31,0.0
19114,-0.06,-0.17,-0.05,-0.03,0.04
19141,-0.07,-0.34,0.23,0.18,-0.14
19212,-0.06,-0.15,-0.02,-0.06,0.01
19249,-0.07,-0.2,0.0,-0.04,0.09
19338,-0.08,-0.1,0.08,0.38,-0.06
19392,-0.06,-0.16,0.02,0.13,0.03
19560,-0.06,-0.16,-0.03,-0.01,-0.0
19631,-0.03,-0.47,-0.53,0.07,-0.34
19695,-0.05,-0.23,-0.06,-0.0,-0.22
19793,-0.06,-0.16,0.02,-0.1,-0.04
19999,-0.05,-0.06,-0.11,-0.09,0.11
20048,-0.04,-0.13,-0.13,-0.13,0.11
20055,-0.05,-0.16,0.06,0.2,0.05
20063,-0.06,-0.16,-0.03,0.01,0.01
20297,1.88,8.07,-0.93,2.86,2.43
20313,-0.01,0.49,0.37,1.8,-0.16
20359,0.04,0.16,-0.24,-0.37,-0.46
20411,0.02,-0.06,-0.36,-0.24,-0.13
20466,0.0,-0.36,0.13,0.91,0.21
20563,0.37,1.21,-0.51,-0.41,-1.72
20607,-0.05,-0.15,-0.03,0.02,-0.01
